date, pm25, pm10, o3, no2, so2, co
2025/11/1, 109, 19, 22, 7, , 2
2025/11/2, 48, 55, 22, 19, 1, 4
2025/11/3, 94, 71, 26, 23, 1, 4
2025/11/4, 139, 117, 13, 30, 7, 9
2025/11/5, 194, 112, 16, 23, 1, 9
2025/11/6, 194, 61, 10, 20, 6, 9
2025/11/7, 126, 52, 16, 10, , 5
2025/11/8, 119, 24, 25, 7, 8, 2
2025/11/9, 36, 41, 14, 20, , 5
2025/11/10, 61, 69, 14, 24, 1, 5
2025/11/11, 108, 74, 27, 22, 1, 8
2025/11/12, 119, 12, 24, 13, 1, 1
2025/11/13, 21, , , , , 
2025/10/1, 68, 48, 48, 13, 7, 4
2025/10/2, 71, 43, 34, 15, 1, 4
2025/10/3, 74, 47, 48, 11, 7, 5
2025/10/4, 90, 41, 23, 10, 1, 6
2025/10/5, 79, 17, 28, 6, 8, 3
2025/10/6, 39, 45, 31, 11, 2, 5
2025/10/7, 84, 22, 17, 8, 2, 3
2025/10/8, 44, 8, 16, 5, 1, 3
2025/10/9, 16, 12, 17, 7, 2, 3
2025/10/10, 33, 16, 14, 10, 1, 4
2025/10/11, 42, 35, 14, 13, 2, 7
2025/10/12, 59, 52, 24, 16, 2, 7
2025/10/13, 83, 44, 41, 15, 2, 5
2025/10/14, 82, 66, 37, 18, 2, 7
2025/10/15, 132, 60, 12, 11, 2, 7
2025/10/16, 120, 35, 18, 9, 2, 3
2025/10/17, 78, 14, 19, 7, 2, 2
2025/10/18, 31, 13, 23, 6, 2, 1
2025/10/19, 29, 18, 20, 8, 2, 1
2025/10/20, 40, 25, 20, 12, 3, 1
2025/10/21, 50, 44, 11, 17, 3, 3
2025/10/22, 85, 57, 23, 15, 3, 4
2025/10/23, 139, 74, 22, 19, 3, 6
2025/10/24, 160, 91, 24, 17, 2, 7
2025/10/25, 175, 23, 24, 10, 2, 2
2025/10/26, 57, 36, 22, 14, 2, 3
2025/10/27, 72, 76, 24, 20, 1, 4
2025/10/28, 138, 109, 18, 14, , 8
2025/10/29, 195, 93, 17, 16, , 8
2025/10/30, 176, 43, 23, 11, , 4
2025/10/31, 103, 33, 28, 10, , 4
2025/7/1, 65, 28, 63, 7, 1, 3
2025/7/2, 63, 20, 28, 7, 1, 4
2025/7/3, 55, 26, 72, 8, 1, 4
2025/7/4, 64, 17, 47, 4, 1, 2
2025/7/5, 54, 9, 69, 5, 1, 1
2025/7/6, 34, 27, 81, 7, 3, 3
2025/7/7, 52, 30, 75, 6, 2, 3
2025/7/8, 67, 39, 55, 7, 2, 5
2025/7/9, 87, 25, 34, 6, 2, 4
2025/7/10, 72, 43, 74, 6, 2, 5
2025/7/11, 97, 42, 84, 7, 2, 4
2025/7/12, 94, 13, 49, 6, 2, 2
2025/7/13, 27, 34, 82, 10, 3, 3
2025/7/14, 56, 40, 44, 7, 2, 6
2025/7/15, 75, 33, 64, 6, 2, 7
2025/7/16, 82, 13, 57, 8, 2, 3
2025/7/17, 32, 34, 103, 10, 2, 4
2025/7/18, 61, 54, 81, 9, 2, 6
2025/7/19, 98, 19, 38, 5, 1, 3
2025/7/20, 47, 24, 71, 8, 1, 3
2025/7/21, 63, 35, 90, 10, 1, 4
2025/7/22, 77, 29, 58, 6, 1, 4
2025/7/23, 63, 22, 39, 5, , 3
2025/7/24, 48, 22, 40, 5, 1, 4
2025/7/25, 55, 37, 41, 6, 1, 4
2025/7/26, 85, 31, 42, 9, 1, 3
2025/7/27, 72, 23, 49, 5, 1, 3
2025/7/28, 62, 7, 46, 4, 1, 1
2025/7/29, 24, 13, 54, 10, 1, 1
2025/7/30, 36, 33, 53, 14, 2, 2
2025/7/31, 65, 43, 92, 10, 1, 2
2025/8/1, 80, 45, 67, 6, 2, 3
2025/8/2, 94, 22, 66, 4, 1, 6
2025/8/3, 65, 28, 50, 4, 2, 6
2025/8/4, 68, 23, 72, 5, 1, 4
2025/8/5, 64, 33, 92, 7, 1, 5
2025/8/6, 74, 29, 67, 7, 1, 3
2025/8/7, 49, 31, 40, 7, 1, 5
2025/8/8, 73, 13, 43, 6, 1, 2
2025/8/9, 42, 21, 70, 8, 1, 2
2025/8/10, 40, 36, 75, 5, 2, 3
2025/8/11, 65, 39, 52, 9, 2, 5
2025/8/12, 82, 20, 60, 4, 1, 3
2025/8/13, 55, 29, 65, 8, 2, 3
2025/8/14, 53, 36, 69, 5, 2, 4
2025/8/15, 90, 16, 59, 4, 2, 3
2025/8/16, 49, 28, 58, 4, 2, 5
2025/8/17, 78, 32, 54, 5, 2, 4
2025/8/18, 65, 18, 37, 5, 2, 4
2025/8/19, 51, 20, 50, 6, 2, 5
2025/8/20, 53, 25, 35, 4, 2, 5
2025/8/21, 67, 19, 53, 9, 3, 4
2025/8/22, 46, 19, 37, 7, 2, 2
2025/8/23, 40, 15, 40, 7, 2, 3
2025/8/24, 39, 21, 57, 8, 2, 3
2025/8/25, 48, 21, 57, 7, 2, 2
2025/8/26, 41, 20, 35, 5, 2, 4
2025/8/27, 51, 14, 40, 6, 2, 4
2025/8/28, 37, 35, 42, 11, 2, 5
2025/8/29, 78, 29, 51, 8, 2, 4
2025/8/30, 66, 25, 64, 6, 2, 2
2025/8/31, 56, 20, 71, 6, 1, 3
2025/9/1, 47, 36, 69, 5, 1, 3
2025/9/2, 73, 39, 72, 5, 1, 4
2025/9/3, 86, 43, 85, 7, 1, 5
2025/9/4, 96, 42, 36, 11, 1, 4
2025/9/5, 87, 24, 47, 10, 1, 2
2025/9/6, 49, 32, 38, 12, 1, 2
2025/9/7, 43, 28, 62, 12, 2, 2
2025/9/8, 37, 50, 90, 13, 2, 4
2025/9/9, 76, 40, 60, 8, 1, 3
2025/9/10, 79, 47, 74, 7, 1, 5
2025/9/11, 93, 56, 67, 12, 1, 5
2025/9/12, 105, 47, 65, 14, 1, 4
2025/9/13, 89, 28, 38, 11, 2, 3
2025/9/14, 57, 21, 21, 11, 2, 4
2025/9/15, 37, 19, 23, 8, 2, 4
2025/9/16, 42, 15, 24, 12, 2, 3
2025/9/17, 28, 21, 38, 13, 2, 3
2025/9/18, 34, 31, 43, 14, 2, 4
2025/9/19, 42, 40, 54, 14, 2, 5
2025/9/20, 65, 44, 76, 11, 2, 5
2025/9/21, 74, 25, 43, 6, 2, 4
